City,start_month,Start_Lat,Start_Lng,Severity,State,Total Accidents
Abbeville,7,31.611074,-85.277245,2,AL,1
Abbeville,7,31.667350530473385,-85.27970910031662,2,AL,1
Abbeville,7,31.676015000000003,-85.27937,2,AL,1
Abbeville,7,31.676015000000003,-85.27937,4,AL,1
Abbeville,7,34.184212,-82.320541,2,SC,1
Abbeville,7,34.18543,-82.40025,2,SC,1
Abbeville,7,34.186821,-82.27754200000003,1,SC,1
Abbeville,7,34.187915000000004,-82.407746,2,SC,1
Abbeville,7,34.187969,-82.399742,2,SC,1
Abbeville,7,34.193703,-82.401482,2,SC,1
Abbeville,7,34.2003643511095,-82.48956799467808,2,SC,1
Abbeville,7,34.205109,-82.55349,2,SC,1
Abbeville,7,34.215839,-82.51780699999998,2,SC,1
Abbeville,7,34.239761,-82.58518199999997,2,SC,1
Abbeville,7,34.261878,-82.582923,2,SC,1
Abbeville,7,34.29192423804144,-82.53844857176523,4,SC,1
Abbeville,7,34.294182,-82.535072,2,SC,1
Abbeville,8,31.516481,-85.290886,2,AL,1
Abbeville,8,31.528994,-85.291267,1,AL,1
Abbeville,8,31.528994,-85.291267,2,AL,1
Abbeville,8,34.168006,-82.409605,2,SC,1
Abbeville,8,34.170539,-82.34264300000002,2,SC,1
Abbeville,8,34.185691,-82.422729,2,SC,1
Abbeville,8,34.185824,-82.279977,2,SC,1
Abbeville,8,34.186878,-82.38134000000002,2,SC,1
Abbeville,8,34.191046,-82.271233,2,SC,1
Abbeville,8,34.224882,-82.389196,2,SC,1
Abbeville,8,34.235986,-82.27852299999998,2,SC,1
Abbeville,8,34.250575303868054,-82.41468071898262,2,SC,1
Abbeville,8,34.26079,-82.32636600000002,2,SC,1
Abbeville,8,34.2784,-82.510498,2,SC,1
Abbeville,8,34.287073,-82.377667,2,SC,1
Abbeville,9,31.550825,-85.284607,2,AL,1
Abbeville,9,31.634451,-85.227692,2,AL,1
Abbeville,9,34.016237,-82.34885,2,SC,1
Abbeville,9,34.103789,-82.338954,2,SC,1
Abbeville,9,34.137847,-82.499374,2,SC,1
Abbeville,9,34.142836,-82.405982,2,SC,1
Abbeville,9,34.151344,-82.460647,2,SC,1
Abbeville,9,34.177219,-82.378173,2,SC,1
Abbeville,9,34.182662,-82.387336,2,SC,1
Abbeville,9,34.183952000000005,-82.407053,2,SC,2
Abbeville,9,34.193378,-82.401917,2,SC,1
Abbeville,9,34.193464,-82.401797,2,SC,1
Abbeville,9,34.193721999999994,-82.401475,2,SC,1
Abbeville,9,34.208613,-82.38836500000002,2,SC,1
Abbeville,9,34.210121,-82.349349,2,SC,1
Abbeville,9,34.221409,-82.362099,1,SC,1
Abbeville,9,34.258636,-82.45249100000002,2,SC,1
Abbeville,9,34.260845,-82.372047,2,SC,1
Abbeville,9,34.262065,-82.5581,2,SC,1
Abbeville,9,34.267071,-82.558083,2,SC,1
Abbeville,9,34.275349,-82.575981,2,SC,1
Abbeville,9,34.28345,-82.56975,2,SC,1
Abbeville,10,31.68959000000001,-85.27894599999998,2,AL,1
Abbeville,10,34.086016416387146,-82.31155514677853,2,SC,1
Abbeville,10,34.129162,-82.429077,2,SC,1
