City,Severity,Total Accidents
Atmore,3,8
Atmore,4,12
Atoka,2,3
Attalla,2,24
Attalla,3,10
Attalla,4,7
Attica,2,20
Attica,4,6
Attleboro,1,1
Attleboro,2,121
Attleboro,3,39
Attleboro Falls,1,1
Attleboro Falls,2,37
Attleboro Falls,3,21
Atwater,1,7
Atwater,2,798
Atwater,3,5
Atwater,4,1
Atwood,2,7
Atwood,3,6
Atwood,4,4
Auberry,1,1
Auberry,2,155
Aubrey,4,1
Auburn,1,13
Auburn,2,1856
Auburn,3,180
Auburn,4,39
Auburn Hills,2,113
Auburn Hills,3,49
Auburn Hills,4,2
Auburndale,1,10
Auburndale,2,109
Auburndale,3,10
Auburndale,4,5
Auburntown,2,1
Auburntown,4,1
Audubon,2,33
Augusta,1,379
Augusta,2,2364
Augusta,3,101
Augusta,4,21
Ault,2,20
Ault,4,5
Aumsville,2,56
Aumsville,4,6
Aurora,1,20
Aurora,2,1108
Aurora,3,344
Aurora,4,58
Austell,1,2
Austell,2,226
Austell,3,127
Austell,4,8
Austerlitz,2,13
Austerlitz,3,2
Austerlitz,4,1
Austin,1,705
Austin,2,19788
Austin,3,561
Austin,4,117
Austinburg,2,5
Austinburg,3,3
Austinville,2,170
Austinville,3,23
Austinville,4,3
Autaugaville,2,22
Autaugaville,4,2
Autryville,2,14
Autryville,4,5
Auxvasse,2,9
Ava,2,6
Avalon,2,1
Avalon-Mulat,2,21
Avalon-Mulat,3,3
Ave Maria,2,2
Avella,2,17
Avella,4,4
Avenal,2,130
Avenal,3,2
Avenal,4,1
Avenel,2,58
Avenel,3,2
Avenel,4,4
Aventura,2,524
Averill Park,2,66
Averill Park,4,6
Avery,2,6
Avila Beach,1,1
Avila Beach,2,59
Avilla,2,1
Avis,2,11
Avoca,2,59
Avoca,3,7
Avoca,4,5
Avon,1,9
Avon,2,366
Avon,3,32
Avon,4,30
Avon By the Sea,2,1
Avon By the Sea,4,1
Avon Park,1,2
Avon Park,2,183
Avon Park,3,1
Avon Park,4,1
Avondale,1,7
Avondale,2,681
Avondale,3,113
Avondale,4,6
Avondale Estates,2,29
Avondale Estates,3,7
Avondale Estates,4,1
Avonmore,2,13
Avonmore,4,3
Awendaw,2,11
Awendaw,3,1
Axis,2,2
Axis,3,1
Axson,2,1
Axson,4,1
Axtell,2,1
Axton,2,20
Axton,4,10
Ayden,2,14
Ayden,4,8
Ayer,1,1
Ayer,2,10
Ayer,4,2
Aylett,2,20
Aylett,4,8
Aynor,1,4
Aynor,2,171
Aynor,3,1
Azalea,2,84
Azle,2,5
Aztec,2,1
Azusa,1,5
Azusa,2,1219
Azusa,3,239
Azusa,4,3
Babb,2,26
Babson Park,2,2
Babylon,1,2
Babylon,2,41
Babylon,3,2
Babylon,4,2
Backus,2,69
Baconton,2,10
Baconton,4,2
Baden,2,5
Baden,4,4
Badger,2,22
Bagdad,2,3
Bagley,2,50
Bahama,2,2
Bailey,2,98
Bailey,3,3
Bailey,4,14
Baileys Harbor,2,2
Baileys Harbor,4,5
Baileyton,2,7
Baileyton,4,1
Bainbridge,1,1
Bainbridge,2,45
Bainbridge,3,3
Bainbridge,4,5
Bainbridge Island,2,2
Bainville,2,4
Baird,2,1
Baird,3,3
Baird,4,2
Baker,1,18
Baker,2,417
Baker,4,1
Baker City,2,581
Baker City,3,16
Baker City,4,71
Bakers Mills,2,5
Bakersfield,1,81
Bakersfield,2,8869
Bakersfield,3,38
Bakersfield,4,46
Bakersville,2,11
Bakersville,4,1
Bal Harbour,1,1
Bal Harbour,2,54
Bala Cynwyd,1,13
Bala Cynwyd,2,583
Bala Cynwyd,3,63
